args.agent_parallelism:True
start with agent
start with agent
model:/home/xiaoxiang/data/Llama-3.1-8B
0 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: None
3 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: 512
INFO 10-28 15:33:38 config.py:1061] Chunked prefill is enabled with max_num_batched_tokens=512.
INFO 10-28 15:33:38 llm_engine.py:238] Initializing an LLM engine (v0.6.3.post2.dev36+g855e0e6f) with config: model='/home/xiaoxiang/data/Llama-3.1-8B', speculative_config=None, tokenizer='/home/xiaoxiang/data/Llama-3.1-8B', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, rope_scaling=None, rope_theta=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=131072, download_dir=None, load_format=LoadFormat.AUTO, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, quantization_param_path=None, device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='outlines'), observability_config=ObservabilityConfig(otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=0, served_model_name=/home/xiaoxiang/data/Llama-3.1-8B, num_scheduler_steps=1, chunked_prefill_enabled=True multi_step_stream_outputs=True, enable_prefix_caching=True, use_async_output_proc=True, use_cached_outputs=False, mm_processor_kwargs=None)
INFO 10-28 15:33:41 model_runner.py:1055] Starting to load model /home/xiaoxiang/data/Llama-3.1-8B...
Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:01<00:04,  1.49s/it]
Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:03<00:03,  1.56s/it]
Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:04<00:01,  1.61s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.18s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.32s/it]

INFO 10-28 15:33:46 model_runner.py:1066] Loading model weights took 14.9888 GB
INFO 10-28 15:33:47 worker.py:260] Memory profiling results: total_gpu_memory=79.15GiB initial_memory_usage=15.50GiB peak_torch_memory=16.16GiB memory_usage_post_profile=15.53Gib non_torch_memory=0.54GiB kv_cache_size=54.53GiB gpu_memory_utilization=0.90
INFO 10-28 15:33:47 gpu_executor.py:122] # GPU blocks: 27921, # CPU blocks: 2048
INFO 10-28 15:33:47 gpu_executor.py:126] Maximum concurrency for 131072 tokens per request: 3.41x
INFO 10-28 15:33:49 model_runner.py:1394] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 10-28 15:33:49 model_runner.py:1398] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 10-28 15:34:02 model_runner.py:1522] Graph capturing finished in 13 secs.
/home/xiaoxiang/vllm/agent/agent.py:87: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  warm_up(engine)
/home/xiaoxiang/vllm/agent/agent.py:774: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  with_agent_optimized(args, prompts)
len(prompt):118
start warm up
finish warm up
max_token:256 and agent_tokens:64
1 with agent len(reqs):4
need_r1_react_num:2 and need_r2_react_num:1
need_r1_react_num:2 and need_r2_react_num:1
need_r1_react_num:2 and need_r2_react_num:1
need_r1_react_num:2 and need_r2_react_num:1
4.2 one step time:0.04918551445007324
INFO 10-28 15:34:09 metrics.py:363] Avg prompt throughput: 98.0 tokens/s, Avg generation throughput: 4.8 tokens/s, Running: 7 reqs, Swapped: 0 reqs, Pending: 1 reqs, GPU KV cache usage: 0.2%, CPU KV cache usage: 0.0%.
INFO 10-28 15:34:09 metrics.py:379] Prefix cache hit rate: GPU: 8.33%, CPU: 0.00%
4.2 one step time:0.04721426963806152
4.2 one step time:0.03329730033874512
4.2 one step time:0.01358795166015625
4.2 one step time:0.013214349746704102
4.2 one step time:0.013128042221069336
4.2 one step time:0.013146638870239258
4.2 one step time:0.012991905212402344
4.2 one step time:0.01302647590637207
4.2 one step time:0.012555360794067383
4.2 one step time:0.01253366470336914
4.2 one step time:0.012525558471679688
4.2 one step time:0.012534618377685547
4.2 one step time:0.012522697448730469
4.2 one step time:0.01246023178100586
4.2 one step time:0.012444257736206055
4.2 one step time:0.012563467025756836
4.2 one step time:0.01255178451538086
4.2 one step time:0.012545585632324219
4.2 one step time:0.01251840591430664
4.2 one step time:0.03217673301696777
4.2 one step time:0.012754678726196289
4.2 one step time:0.012517690658569336
4.2 one step time:0.012497901916503906
4.2 one step time:0.012485504150390625
4.2 one step time:0.012522220611572266
4.2 one step time:0.012475967407226562
4.2 one step time:0.012515783309936523
4.2 one step time:0.012523174285888672
4.2 one step time:0.012507915496826172
4.2 one step time:0.012538671493530273
4.2 one step time:0.012470006942749023
4.2 one step time:0.012532472610473633
4.2 one step time:0.012507915496826172
4.2 one step time:0.01256108283996582
4.2 one step time:0.01245260238647461
4.2 one step time:0.01252889633178711
4.2 one step time:0.012631416320800781
4.2 one step time:0.012822628021240234
4.2 one step time:0.012901067733764648
4.2 one step time:0.01249384880065918
4.2 one step time:0.012514114379882812
4.2 one step time:0.012523889541625977
4.2 one step time:0.012557744979858398
4.2 one step time:0.012551307678222656
4.2 one step time:0.012523889541625977
4.2 one step time:0.012488365173339844
4.2 one step time:0.012512683868408203
4.2 one step time:0.012558460235595703
4.2 one step time:0.012562990188598633
4.2 one step time:0.012595176696777344
4.2 one step time:0.012554407119750977
4.2 one step time:0.012519359588623047
4.2 one step time:0.012479543685913086
4.2 one step time:0.01253199577331543
4.2 one step time:0.012500762939453125
4.2 one step time:0.012492895126342773
4.2 one step time:0.012481212615966797
4.2 one step time:0.012514352798461914
4.2 one step time:0.012511253356933594
4.2 one step time:0.012556791305541992
4.2 one step time:0.012506484985351562
4.2 one step time:0.012508392333984375
4.2 one step time:0.012482166290283203
4.2 one step time:0.01251840591430664
4.2 one step time:0.012546300888061523
4.2 one step time:0.012569904327392578
4.2 one step time:0.01251363754272461
4.2 one step time:0.012514352798461914
4.2 one step time:0.012526512145996094
4.2 one step time:0.012532711029052734
4.2 one step time:0.012514829635620117
4.2 one step time:0.012558460235595703
4.2 one step time:0.012526750564575195
4.2 one step time:0.012502431869506836
4.2 one step time:0.012530088424682617
4.2 one step time:0.012547492980957031
4.2 one step time:0.012498617172241211
4.2 one step time:0.012539386749267578
4.2 one step time:0.012493610382080078
4.2 one step time:0.012567996978759766
4.2 one step time:0.01293039321899414
4.2 one step time:0.012669086456298828
4.2 one step time:0.012497425079345703
4.2 one step time:0.012541055679321289
4.2 one step time:0.012519121170043945
4.2 one step time:0.012589693069458008
